question,answer,type,difficulty,link
C'est le maillot de quelle équipe ?,Marseille,recognize-jersey,easy,/src/src/image/jersey/marseille.png
C'est le maillot de quelle équipe ?,Inter Milan,recognize-jersey,easy,/src/src/image/jersey/inter-milan.png
C'est le maillot de quelle équipe ?,Porto,recognize-jersey,medium,/src/src/image/jersey/porto.png
C'est le maillot de quelle équipe ?,Atletico Madrid,recognize-jersey,medium,/src/src/image/jersey/atletico-madrid.png
C'est le maillot de quelle équipe ?,Lens,recognize-jersey,medium,/src/src/image/jersey/lens.png
C'est le maillot de quelle équipe ?,Rennes,recognize-jersey,medium,/src/src/image/jersey/rennes.png
C'est le maillot de quelle équipe ?,Seville,recognize-jersey,medium,/src/src/image/jersey/seville.png
C'est le maillot de quelle équipe ?,Monaco,recognize-jersey,medium,/src/src/image/jersey/monaco.png
C'est le maillot de quelle équipe ?,Sassuolo,recognize-jersey,medium,/src/src/image/jersey/sassuolo.png
C'est le maillot de quelle équipe ?,Fiorentina,recognize-jersey,medium,/src/src/image/jersey/fiorentina.png
C'est le maillot de quelle équipe ?,Belgique,recognize-jersey,medium,/src/src/image/jersey/belgique.png
C'est le maillot de quelle équipe ?,Allemagne,recognize-jersey,medium,/src/src/image/jersey/allemagne.png
C'est le maillot de quelle équipe ?,Angleterre,recognize-jersey,medium,/src/src/image/jersey/angleterre.png
C'est le maillot de quelle équipe ?,Lille,recognize-jersey,medium,/src/src/image/jersey/lille.png
C'est le maillot de quelle équipe ?,Real Sociedad,recognize-jersey,medium,/src/src/image/jersey/real-sociedad.png
C'est le maillot de quelle équipe ?,Newcastle,recognize-jersey,medium,/src/src/image/jersey/newcastle.png
C'est le maillot de quelle équipe ?,RB Leipzig,recognize-jersey,medium,/src/src/image/jersey/rb-leipzig.png
C'est le maillot de quelle équipe ?,Brentford,recognize-jersey,hard,/src/src/image/jersey/brentford.png
C'est le maillot de quelle équipe ?,Mexique,recognize-jersey,hard,/src/src/image/jersey/mexique.png
C'est le maillot de quelle équipe ?,Bournemouth,recognize-jersey,hard,/src/src/image/jersey/bournemouth.png
C'est le maillot de quelle équipe ?,Burnley,recognize-jersey,hard,/src/src/image/jersey/burnley.png
C'est le maillot de quelle équipe ?,Auxerrre,recognize-jersey,hard,/src/src/image/jersey/auxerre.png
C'est le maillot de quelle équipe ?,Lorient,recognize-jersey,hard,/src/src/image/jersey/lorient.png
C'est le maillot de quelle équipe ?,Reims,recognize-jersey,hard,/src/src/image/jersey/reims.png
C'est le maillot de quelle équipe ?,Wolfsburg,recognize-jersey,hard,/src/src/image/jersey/wolfsburg.png
C'est le maillot de quelle équipe ?,Hoffenheim,recognize-jersey,hard,/src/src/image/jersey/hoffenheim.png
C'est le maillot de quelle équipe ?,Fribourg,recognize-jersey,hard,/src/src/image/jersey/fribourg.png
C'est le maillot de quelle équipe ?,Alavès,recognize-jersey,hard,/src/src/image/jersey/alaves.png
C'est le maillot de quelle équipe ?,Cadiz,recognize-jersey,hard,/src/src/image/jersey/cadiz.png
C'est le maillot de quelle équipe ?,Girona,recognize-jersey,hard,/src/src/image/jersey/girona.png
C'est le maillot de quelle équipe ?,Lecce,recognize-jersey,hard,/src/src/image/jersey/lecce.png
C'est le maillot de quelle équipe ?,Torino,recognize-jersey,hard,/src/src/image/jersey/torino.png
Quel est ce moment ? ,La remontada Barça-PSG,recognize-moment,easy,/src/src/image/moment/remontada.webp
Quel est ce moment ? ,Le coup de tête de ZIdane,recognize-moment,easy,/src/src/image/moment/zidane.jpeg
Quel est ce moment ? ,Égalisation en final de Mbappe en final France - Argentine,recognize-moment,easy,/src/src/image/moment/egalisation-france-argentine.jpeg
Quel est ce moment ? ,La victoire de la France à la Coupe du Monde 2018,recognize-moment,easy,/src/src/image/moment/coupe-du-monde-2018.webp
Quel est ce moment ? ,Le transfert record de Neymar au Paris Saint-Germain en 2017,recognize-moment,easy,/src/src/image/moment/transfert-neymar.joeg
Quel est ce moment ? ,La retourné de Zlatan avec la Suède,recognize-moment,easy,/src/src/image/moment/zlatan.jpeg
Quel est ce moment ? ,La main de dieu de Maradona,recognize-moment,easy,/src/src/image/moment/maradona-la-main-de-dieu.jpeg
Quel est ce moment ? ,Le sacre du Portugal à l'Euro 2016,recognize-moment,easy,/src/src/image/moment/portugal-euro-2016.jpeg
Quel est ce moment ? ,Le transfert de Kylian Mbappé au Paris Saint-Germain en 2017,recognize-moment,easy,/src/src/image/moment/transfert-mbappe.jpeg
Quel est ce moment ? ,La main de Thierry Henry,recognize-moment,easy,/src/src/image/moment/thierry-henry.webp
Quel est ce moment ? ,La main de Suarez face au Ghana,recognize-moment,medium,/src/src/image/moment/main-suarez.png
Quel est ce moment ? ,Luis Suárez mord Giorgio Chiellini,recognize-moment,medium,/src/src/image/moment/morsure-suarez.jpeg
Quel est ce moment ? ,La tête de Van Persie,recognize-moment,medium,/src/src/image/moment/vanpersie.webp
Quel est ce moment ? ,Lionel Messi quitte le Barça,recognize-moment,medium,/src/src/image/moment/messi-transfert.jpeg
Quel est ce moment ? ,La Premier League de Leicester,recognize-moment,medium,/src/src/image/moment/pl-leicester.jpeg
Quel est ce moment ? ,Le sacre de Liverpool en Ligue des champions 2018-2019,recognize-moment,medium,/src/src/image/moment/ldc-liverpool.jpeg
Quel est ce moment ? ,La Ligue des Champions de l'OM,recognize-moment,medium,/src/src/image/moment/om-ldc.jpeg
Quel est ce moment ? ,Le transfert de Cristiano Ronaldo de Real Madrid à la Juventus en 2018,recognize-moment,medium,/src/src/image/moment/transfer-ronaldo.webp
Quel est ce moment ? ,Le transfert de Cristiano Ronaldo du Sporting Portugal à Manchester United en 2003,recognize-moment,medium,/src/src/image/moment/transfert-ronaldo-manchester.jpeg
Quel est ce moment ? ,Le sacre de l'Espagne à l'Euro 2012,recognize-moment,medium,/src/src/image/moment/euro-2012-espagne.webp
Quel est ce moment ? ,Le départ de Sir Alex Ferguson de Manchester United en 2013,recognize-moment,hard,/src/src/image/moment/depart-manchester.jpeg
Quel est ce moment ? ,Le coup de Kung-Fu d'Eric Cantona,recognize-moment,hard,/src/src/image/moment/cantona.webp
Quel est ce moment ? ,La victoire de la Grèce à l'Euro 2004,recognize-moment,hard,/src/src/image/moment/euro-2014-grece.avif
Quel est ce moment ? ,L’OM humilié par les amateurs de Canet-en-Roussillon,recognize-moment,hard,/src/src/image/moment/canet-om.webp
Quel est ce moment ? ,Le premier match de Messi au Barça,recognize-moment,hard,/src/src/image/moment/premier-match-messi.webp
Quel est ce moment ? ,La victoire de l'Algérie à la Coupe d'Afrique des nations 2019,recognize-moment,hard,/src/src/image/moment/can-algerie.jpeg
Quel est ce moment ? ,2022 : Le premier Ballon d'Or féminin,recognize-moment,hard,/src/src/image/moment/bo-feminin.avif
Quel est ce moment ? ,"Le ""7-1"" historique entre l'Allemagne et le Brésil en demi-finale de la Coupe du Monde ",recognize-moment,hard,/src/src/image/moment/allemagne-bresil.jpeg
Quel est ce moment ? ,Le but d'Eder en final de l'Euro 2016,recognize-moment,hard,/src/src/image/moment/eder-euro.jpeg
Quel est ce moment ? ,Le penalty manqué par Baggio (1994),recognize-moment,hard,/src/src/image/moment/baggio.avif
Quel est ce tifo ?,Manchester City,recognize-tifo,easy,/src/src/image/tifo/manchester-city.jpeg
Quel est ce tifo ?,L'Olympique de Marseille,recognize-tifo,easy,/src/src/image/tifo/marseille.jpeg
Quel est ce tifo ?,L'Olympique Lyonnais,recognize-tifo,easy,/src/src/image/tifo/lyon.jpeg
Quel est ce tifo ?,Paris Saint Germains,recognize-tifo,easy,/src/src/image/tifo/paris-saint-germains.jpeg
Quel est ce tifo ?,Inter Milan,recognize-tifo,easy,/src/src/image/tifo/inter-milan.jpeg
Quel est ce tifo ?,Chelsea,recognize-tifo,easy,/src/src/image/tifo/chelsea.webp
Quel est ce tifo ?,Galatasaray,recognize-tifo,easy,/src/src/image/tifo/galatasaray.jpg_large
Quel est ce tifo ?,Real Madrid,recognize-tifo,easy,/src/src/image/tifo/real-madrid.webp
Quel est ce tifo ?,Atalanta ,recognize-tifo,easy,/src/src/image/tifo/atalanta.jpeg
Quel est ce tifo ?,Barcelone,recognize-tifo,easy,/src/src/image/tifo/barcelone.jpeg
Quel est ce tifo ?,Young Boys,recognize-tifo,medium,/src/src/image/tifo/young-boys.jpeg
Quel est ce tifo ?,Newcastle,recognize-tifo,medium,/src/src/image/tifo/newcastle.jpeg
Quel est ce tifo ?,Anderlecht,recognize-tifo,medium,/src/src/image/tifo/anderlecht.webp
Quel est ce tifo ?,Rennes,recognize-tifo,medium,/src/src/image/tifo/rennes.avif
Quel est ce tifo ?,Borussia Dortmund,recognize-tifo,medium,/src/src/image/tifo/dortmund.jpeg
Quel est ce tifo ?,Real Betis,recognize-tifo,medium,/src/src/image/tifo/real-betis.jpeg
Quel est ce tifo ?,Palmeiras,recognize-tifo,medium,/src/src/image/tifo/palmeiras.jpeg
Quel est ce tifo ?,AC Milan,recognize-tifo,medium,/src/src/image/tifo/ac-milan.jpeg
Quel est ce tifo ?,Manchester United,recognize-tifo,medium,/src/src/image/tifo/manchester-united.webp
Quel est ce tifo ?,Glasgow Rangers,recognize-tifo,medium,/src/src/image/tifo/glasgow-rangers.jpeg
Quel est ce tifo ?,Olympiakos,recognize-tifo,hard,/src/src/image/tifo/olympiacos.jpeg
Quel est ce tifo ?,Atletico Madrid,recognize-tifo,hard,/src/src/image/tifo/atletico-madrid.jpeg
Quel est ce tifo ?,Bursaspor,recognize-tifo,hard,/src/src/image/tifo/bursaspor.jpeg
Quel est ce tifo ?,Twente,recognize-tifo,hard,/src/src/image/tifo/twente.jpeg
Quel est ce tifo ?,Lens,recognize-tifo,hard,/src/src/image/tifo/lens.jpeg
Quel est ce tifo ?,FC Bale,recognize-tifo,hard,/src/src/image/tifo/fc-bale.jpeg
Quel est ce tifo ?,Union Berlin,recognize-tifo,hard,/src/src/image/tifo/union-berlin.jpeg
Quel est ce tifo ?,Nottingham Forest,recognize-tifo,hard,/src/src/image/tifo/nottingham-forest.jpeg
Quel est ce tifo ?,Standard de Liège,recognize-tifo,hard,/src/src/image/tifo/standard-de-liege.jpeg
Quel est ce tifo ?,LA Galaxy,recognize-tifo,hard,/src/src/image/tifo/la-galaxy.jpg_large
Écrit parfaitement le nom de ce joueur,Xherdan Shaqiri,spelling,easy,/src/src/image/spelling/xherdan-shaqiri.png
Écrit parfaitement le nom de ce joueur,Thomas Delaney,spelling,easy,/src/src/image/spelling/thomas-delaney.png
Écrit parfaitement le nom de ce joueur,Tanguy Ndombélé,spelling,easy,/src/src/image/spelling/tanguy-ndombele.png
Écrit parfaitement le nom de ce joueur,Joachim Andersen,spelling,easy,/src/src/image/spelling/joachim-anderen.png
Écrit parfaitement le nom de ce joueur,Nicolò Zaniolo,spelling,easy,/src/src/image/spelling/nicolo-zaniolo.png
Écrit parfaitement le nom de ce joueur,Marcel Sabitzer,spelling,easy,/src/src/image/spelling/marcel-sabitzer.png
Écrit parfaitement le nom de ce joueur,Lautaro Martínez,spelling,easy,/src/src/image/spelling/lautaro-martinez.png
Écrit parfaitement le nom de ce joueur,Breel Embolo,spelling,easy,/src/src/image/spelling/breel-embolo.png
Écrit parfaitement le nom de ce joueur,Serge Gnabry,spelling,easy,/src/src/image/spelling/serge-gnabry.png
Écrit parfaitement le nom de ce joueur,Raphaël Guerreiro ,spelling,easy,/src/src/image/spelling/raphael-guerreiro.png
Écrit parfaitement le nom de ce joueur,Oleksandr Zinchenko,spelling,medium,/src/src/image/spelling/oleksandr-zinchenko.png
Écrit parfaitement le nom de ce joueur,Andriy Shevchenko,spelling,medium,/src/src/image/spelling/andriy-shevchenko.png
Écrit parfaitement le nom de ce joueur,Arnaud Kalimuendo,spelling,medium,/src/src/image/spelling/arnaud-kalimuendo.png
Écrit parfaitement le nom de ce joueur,Pierre-Emerick Aubameyang,spelling,medium,/src/src/image/spelling/pierre-emerick-aubameyang.png
Écrit parfaitement le nom de ce joueur,João Palhinha ,spelling,medium,/src/src/image/spelling/joao-palhinha.png
Écrit parfaitement le nom de ce joueur,Yussuf Poulsen ,spelling,medium,/src/src/image/spelling/yussuf-poulsen.png
Écrit parfaitement le nom de ce joueur,Martin Ødegaard,spelling,medium,/src/src/image/spelling/martin-odegaard.png
Écrit parfaitement le nom de ce joueur,Robert Lewandowski,spelling,medium,/src/src/image/spelling/robert-lewandowski.png
Écrit parfaitement le nom de ce joueur,Gianluigi Donnarumma,spelling,medium,/src/src/image/spelling/gianluigi-donnarumma.png
Écrit parfaitement le nom de ce joueur,Victor Osimhen,spelling,medium,/src/src/image/spelling/victor-osimhen.png
Écrit parfaitement le nom de ce joueur,Piotr Zieliński,spelling,hard,/src/src/image/spelling/piotr-zielinski.png
Écrit parfaitement le nom de ce joueur,Sergej Milinković-Savić ,spelling,hard,/src/src/image/spelling/sergej-milinkovic-savic.png
Écrit parfaitement le nom de ce joueur,Álvaro Odriozola,spelling,hard,/src/src/image/spelling/alvaro-odriozola.png
Écrit parfaitement le nom de ce joueur,Josip Brekalo ,spelling,hard,/src/src/image/spelling/josip-brekalo.png
Écrit parfaitement le nom de ce joueur,Duje Čop,spelling,hard,/src/src/image/spelling/duje-cop.png
Écrit parfaitement le nom de ce joueur,Mykola Shaparenko,spelling,hard,/src/src/image/spelling/mykola-shaparenko.png
Écrit parfaitement le nom de ce joueur,Khvicha Kvaratskhelia,spelling,hard,/src/src/image/spelling/khvicha-kvaratskhelia.png
Écrit parfaitement le nom de ce joueur,Dušan Tadić,spelling,hard,/src/src/image/spelling/dusan-tadic.png
Écrit parfaitement le nom de ce joueur,Krzysztof Piątek,spelling,hard,/src/src/image/spelling/krzysztof-piatek.png
Écrit parfaitement le nom de ce joueur,Wojciech Szczęsny,spelling,hard,/src/src/image/spelling/wojciech-szczesny.png
Qui détient le record du meilleur buteur en une saison ?,Lionel Messi avec 50 buts en Liga (2011-2012),world-record,easy,
Quel joueur a marqué le plus grand nombre de buts en une année civile,Lionel Messi avec 91 buts en 2012,world-record,easy,
Le plus grand nombre de Ballons d'Or remportés  ?,Lionel Messi avec 8 Ballon d'Or,world-record,easy,
Le plus grand nombre de titres de Ligue des champions ,Real Madrid avec 13 titres,world-record,easy,
Le meilleur buteur en équipe de France,Thierry Henry (51 buts),world-record,easy,
Le plus grand nombre de coup francs inscrits,Juninho (77 buts),world-record,easy,
Le pays étant allé le plus de fois en finale de Coupe du monde,Allemagne (8 finales),world-record,easy,
Le triplé le plus rapide ,Sadio Mané (2 minutes avec Southampton),world-record,easy,
Le quintuplé le plus rapide,Robert Lewandowski (9 minutes),world-record,easy,
Le plus grand record d'invincibilité ,"l'AC Milan, avec 58 matchs",world-record,easy,
Le plus grand nombre de buts marqués en Coupe du Monde,Miroslav Klose avec 16 buts,world-record,medium,
Le plus grand nombre de buts en carrière en club,Pelé (1280 buts),world-record,medium,
Le triplé le plus rapide,Sadio Mané (2 minutes avec Southampton),world-record,medium,
Le plus grand nombre de passes décisives en une saison de Premier League,Thierry Henry avec 20 assists (2002-2003),world-record,medium,
Le plus grand nombre de Clean Sheets en Premier League,Petr Čech avec 202 Clean Sheets,world-record,medium,
Le plus grand nombre de titres de Serie A remportés consécutivement, Juventus avec 9 titres ,world-record,medium,
Joueur le plus jeune ayant remporté une Coupe du monde,Pelé (17 ans),world-record,medium,
Joueur le plus rapide ,"Cristiano Ronaldo (38,6 km/h)",world-record,medium,
Le joueur le plus titré,Dani Alves ( 40 trophées),world-record,medium,
Joueur ayant gagné une Coupe du monde en tant que joueur ET entraîneur,"Mario Zagallo,  Franz Bekenbauer et Didier Deschamps",world-record,medium,
Le plus grand nombre de buts marqués en une seule Coupe du Monde,Just Fontaine (13 buts),world-record,hard,
Le plus grand nombre de sélections internationales,Ahmed Hassan d'Égypte avec 184 sélections,world-record,hard,
Le plus grand nombre de buts en carrière en sélections nationales,Ali Daei avec 109 buts pour l'Iran,world-record,hard,
Le plus grand nombre de titres de Ligue des champions ,Real Madrid avec 13 titres,world-record,hard,
Le plus grand nombre de victoires consécutives en championnat national,Celtic FC avec 106 victoires (2016-2017 à 2018-2019),world-record,hard,
Le record de longévité pour un joueur professionnel,Kazu Miura (56 ans),world-record,hard,
Le match ayant rassemblé le plus de supporters de tous les temps,Brésil-Uruguay (173 850 spectateurs),world-record,hard,
Le but le plus lointain ,"Tom King (96,01m avec Newport County)",world-record,hard,
Le carton le plus rapide ,Matt McClure (3 secondes),world-record,hard,
Le plus grand score de l'histoire du football,149 - 0 ( SO de l'Emyrne vs l'AS Adema) ,world-record,hard,
Quel est le classement fifa de l'Argentine ? ,1,fifa-ranking,easy,
Quel est le classement fifa de la France ?,2,fifa-ranking,easy,
Quel est le classement fifa de l'Angleterre ?,3,fifa-ranking,easy,
Quel est le classement fifa de la Belgique ?,4,fifa-ranking,easy,
Quel est le classement fifa du Brésil ?,5,fifa-ranking,easy,
Quel est le classement fifa de Saint-Marin ?,210,fifa-ranking,easy,
Quel est le classement fifa du Portugal?,7,fifa-ranking,easy,
Quel est le classement fifa de l'Espagne ?,8,fifa-ranking,easy,
Quel est le classement fifa de l'Italie ?,9,fifa-ranking,easy,
Quel est le classement fifa de la Croatie ?,10,fifa-ranking,easy,
Quel est le classement fifa du Pays-bas ?,6,fifa-ranking,medium,
Quel est le classement fifa des Etats-Unis ?,13,fifa-ranking,medium,
Quel est le classement fifa de l'Allemagne ?,16,fifa-ranking,medium,
Quel est le classement fifa de la Suisse ?,19,fifa-ranking,medium,
Quel est le classement fifa du Danemark ?,21,fifa-ranking,medium,
Quel est le classement fifa de l'Uruguay ?,11,fifa-ranking,medium,
Quel est le classement fifa du Sénégal ?,17,fifa-ranking,medium,
Quel est le classement fifa de l'Algérie ?,43,fifa-ranking,medium,
Quel est le classement fifa de la Grèce ?,49,fifa-ranking,medium,
Quel est le classement fifa du Cameroun ?,51,fifa-ranking,medium,
Quel est le classement fifa de l'Arabie saoudite ?,53,fifa-ranking,hard,
Quel est le classement fifa du Canada ?,50,fifa-ranking,hard,
Quel est le classement fifa de la Slovaquie ?,48,fifa-ranking,hard,
Quel est le classement fifa de la Suède ?,26,fifa-ranking,hard,
Quel est le classement fifa de la Pologne ?,30,fifa-ranking,hard,
Quel est le classement fifa de la Turquie ?,35,fifa-ranking,hard,
Quel est le classement fifa de la Côte d'Ivoire ?,39,fifa-ranking,hard,
Quel est le classement fifa du Maroc ?,12,fifa-ranking,hard,
Quel est le classement fifa de la Colombie ?,14,fifa-ranking,hard,
Quel est le classement fifa du Japon ?,18,fifa-ranking,hard,
"À qui correspond le surnom ""La Pulga"" ?",Messi,nickname,easy,
"À qui correspond le surnom ""CR7"" ?",Cristiano Ronaldo,nickname,easy,
"À qui correspond le surnom ""Ney"" ?",Neymar,nickname,easy,
"À qui correspond le surnom ""Kyky"" ?",Kylian Mbappé ,nickname,easy,
"À qui correspond le surnom ""Red Devils"" ?",Manchester United,nickname,easy,
"À qui correspond le surnom ""Grizou"" ?",Antoine Griezmann,nickname,easy,
"À qui correspond le surnom ""KDB"" ?",Kevin De Bruyne,nickname,easy,
"À qui correspond le surnom ""Spurs"" ?",Tottenham Hotspur,nickname,easy,
"À qui correspond le surnom ""Super Mario"" ?",Mario Balotelli,nickname,easy,
"À qui correspond le surnom ""Hurricane"" ?",Harry Kane,nickname,easy,
"À qui correspond le surnom "" KB9"" ?",Karim Benzema,nickname,easy,
"À qui correspond le surnom ""Maestro"" ?",Luka Modric,nickname,medium,
"À qui correspond le surnom  ""The Terminator"" ?",Erling Haaland,nickname,medium,
"À qui correspond le surnom ""Kun"" ?",Sergio Aguero,nickname,medium,
"À qui correspond le surnom ""Bruno"" ?",Bruno Fernandes,nickname,medium,
"À qui correspond le surnom ""La Pioche"" ?",Paul Pogba,nickname,medium,
"À qui correspond le surnom "" Los Colchoneros"" ?",Atletico Madrid,nickname,medium,
"À qui correspond le surnom "" Ibra"" ?",Zlatan Ibrahimović,nickname,medium,
"À qui correspond le surnom "" Marqui"" ?",Marquinhos,nickname,medium,
"À qui correspond le surnom "" Gigi"" ?",Gianluigi Buffon,nickname,medium,
"À qui correspond le surnom ""Scarface"" ?",Franck Ribéry ,nickname,medium,
"À qui correspond le surnom ""The Magician"" ?",Thiago Alcantara ,nickname,hard,
"À qui correspond le surnom""Godzilla""  ?",Romelu Lukaku,nickname,hard,
"À qui correspond le surnom ""Mengão "" ?",Flamengo,nickname,hard,
"À qui correspond le surnom ""Die Roten "" ?",Bayern Munich,nickname,hard,
"À qui correspond le surnom ""Rashy"" ?",Marcus Rashford,nickname,hard,
"À qui correspond le surnom ""NG"" ?",N'Golo Kanté,nickname,hard,
"À qui correspond le surnom ""The Welsh Wizard"" ?",Gareth Bale ,nickname,hard,
"À qui correspond le surnom ""The Metronome"" ?",Toni Kroos ,nickname,hard,
"À qui correspond le surnom ""The Giant"" ?",Thibaut Courtois,nickname,hard,
"À qui correspond le surnom ""De Godenzonen "" ?",Ajax,nickname,hard,
Quand la France a gagné sa première Coupe du Monde ?,1998,event,easy,
Quand est la dernière victoire de l'Italie à l'Euro ?,2021,event,easy,
Ou s'est déroulé la coupe du monde 2022 ?,Au Qatar,event,easy,
Qui a gagné la Can 2023 ? ,La Côte d'Ivoire,event,easy,
Combien de ballon d'or a Cristiano Ronaldo ?,5,event,easy,
Combien de ballon d'or a Messi ?,8,event,easy,
Qui est le meilleur buteur en une saison de Premier League ?,Erling haaland,event,easy,
Quelle est la particularité du Trophée des Champions ?,Oppose le champion de France au vainqueur de la Coupe de France,event,easy,
 Quel est le pays qui a remporté le plus de Coupes d'Afrique des nations ?,Égypte,event,easy,
Qui a gagné la Coupe du Monde 2018 ?,La France,event,easy,
Quel est le transfert le plus cher de l'histoire du football ?,222 millions pour Neymar,event,medium,
Quel pays a organisé la toute première Coupe du Monde de football en 1930 ?,Uruguay,event,medium,
 Quel club a remporté le plus de fois le Trophée des Champions ?,Paris Saint-Germain (10),event,medium,
Quelle équipe a remporté l'Euro 2000 ?,La France,event,medium,
Qui a été le meilleur buteur de la Coupe du Monde de football en 2018 ?,Harry Kane,event,medium,
Quel est le club de football le plus ancien au monde ?,,event,medium,
 Quelle équipe a remporté la Ligue des champions de l'UEFA en 2012 ?,Chelsea,event,medium,
Quel joueur a remporté le Soulier d'Or en 2020 ?,Ciro Immobile,event,medium,
Quelle équipe a remporté la Coupe du Monde féminine de la FIFA en 2019 ?,Les États-Unis,event,medium,
Quelle club féminin a gagné le plus de Ligue des Champions ?,Lyon,event,medium,
Qui a été le meilleur gardien de but de la Coupe du Monde de football en 2014 ?,Manuel Neuer,event,hard,
" Qui a marqué le ""but du siècle"" lors de la Coupe du Monde de football en 1986 ?",Diego Maradona,event,hard,
 Quelle est la footballeuse la plus titrée de l'histoire ?,Marta (Brésil),event,hard,
Quel est le transfert féminin le plus cher de l'histoire du football ?,Racheal Kundananji (805 000 euros),event,hard,
"Quel joueur a inventé le ""coup du scorpion"" ?",René Higuita,event,hard,
En quelle année a été créée la CAF ?,1957,event,hard,
Quel est le stade de football le plus ancien du monde ?,"Bramall Lane (Sheffield, Angleterre)",event,hard,
Quelle équipe a remporté le plus de fois la Copa Libertadores ?,Independiente (7),event,hard,
Quel est le club de football le plus ancien au monde ?,"Sheffield FC, fondé en 1857",event,hard,
Quelle équipe a remporté la Copa Libertadores en 2020 ?,Palmeiras,event,hard,
C'est la femme de quelle joueur ?,Georgina Rodríguez (Cristiano Ronaldo),recognize-wife,easy,/src/src/image/wife/georgina-rodriguez.jpeg
